CATEGORY_ID,PARENT_CATEGORY_ID,NAME
30806,30800,DIY뜨개질
30807,30800,DIY기타수예용품
30808,30801,동물
30809,30801,명화
30810,30801,풍경·자연
30811,30801,식물·꽃
30812,30801,일러스트
30813,30801,팝아트
30814,30802,풍경·자연
30815,30802,명화
30816,30802,동물
30817,30802,일러스트
30818,30802,부자재
30900,30000,파티·완구
30901,30900,파티·이벤트용품
30902,30900,보드게임
30903,30900,퍼즐
30904,30900,블록·기타완구
30905,30901,가랜드
30906,30901,데코픽·케익토퍼
30907,30901,파티풍선
30908,30901,파티용품·파티용식기
30909,30901,파티의상·소품
30910,30901,선물포장용품
31000,30000,크리스마스
31001,31000,트리·오너먼트
31002,31000,조명
31003,31000,리스·조화
31004,31000,가랜드·모빌
31005,31000,워터볼·오브제
31006,31000,캔들·디퓨저
31007,31000,패브릭포스터·그림
31008,31000,파티용품·의상
31009,31000,데코스티커
31010,31001,무장식트리
31011,31001,중대형트리세트
31012,31001,미니트리세트
31013,31001,벽트리
31014,31001,오너먼트·장식볼
31015,31002,장식조명
31016,31002,줄조명
40000,,조명
40100,40000,공간별조명
40101,40100,거실조명
40102,40100,방조명
40103,40100,주방조명
40104,40100,현관·베란다조명
40105,40100,야외조명
40106,40101,샹들리에
40107,40101,직부조명
40108,40101,LED거실등
40109,40101,레일조명
40110,40101,매입등
40111,40102,직부조명
40112,40102,LED방등
40113,40103,레일조명
40114,40103,펜던트조명
40115,40103,LED주방등
40200,40000,천장등
40201,40200,직부조명
40202,40200,펜던트조명
40203,40200,센서등
40204,40200,레일조명
40205,40200,매입등
40206,40200,샹들리에
40207,40200,키즈조명
40208,40200,실링팬
40300,40000,장스탠드
40400,40000,단스탠드
40500,40000,무드등·장식조명
40501,40500,무드등·수유등
40502,40500,줄조명
40503,40500,컬러·네온조명
40504,40500,간접조명
40505,40500,센서무드등
40600,40000,LED등
40601,40600,LED거실등
40602,40600,LED방등
40603,40600,LED주방등
40604,40600,LED욕실등
40605,40600,LED현관·베란다등
40606,40600,평형별세트
40700,40000,데스크스탠드
40800,40000,벽조명
40900,40000,센서등
40901,40900,직부형센서등
40902,40900,부착형센서등
41000,40000,형광등·조명부속품
41001,41000,전구·형광등
41002,41000,스위치·콘센트·부속품
41003,41000,후렌치·소켓·기타부속품
50000,,공구·DIY
50100,50000,공구
50101,50100,공구세트·공구함
50102,50100,전동공구
50103,50100,나사·못
50104,50100,경첩·꺽쇠
50105,50100,드라이버
50106,50100,망치·스패너
50107,50100,톱·니퍼
50108,50100,사다리
50109,50100,카트
50110,50100,기타공구
50111,50102,전동드릴
50112,50102,전기톱
50113,50102,기타전동공구
50200,50000,전기
50201,50200,멀티탭·전기코드
50202,50200,도어락·인터폰
50203,50200,스위치·콘센트
50300,50000,건전지·배터리
50400,50000,수도
50401,50400,양변기
50402,50400,세면대
50403,50400,주방수전
50404,50400,욕실샤워수전
50405,50400,수도꼭지필터
50500,50000,벽지·시트지
50501,50500,벽지·도배용품
50502,50500,시트지·필름지
50600,50000,바닥재
50601,50600,데코타일
50602,50600,데크·마루타일
50603,50600,타일카페트
50604,50600,롤카페트
50605,50600,코일매트
50606,50600,잔디매트
50607,50600,기타매트
50608,50600,장판
50700,50000,타일·파벽돌
50800,50000,목재
50900,50000,페인트·부자재
50901,50900,페인트
